"it","intercept","PTEDUCAT","AGE","sigma","r.squared","fstat","pval"
"Q1SCORE",1.04421475373573,-0.0446443625249899,0.033979887053484,1.29432518024688,0.0386307050462953,7.97632605070758,0.00040152635592612
"Q2SCORE",0.0721985588996042,-0.00137245175020596,0.000415809309614337,0.352864733224002,0.000164493902939748,0.0326574116786468,0.96787268360345
"Q3SCORE",0.177952441506019,-0.0145445738383325,0.00593092566614387,0.550457189216371,0.00992005998053224,1.98886153182432,0.138212359955358
"Q4SCORE",-0.549011619519473,-0.065291206936162,0.0596768705387164,1.81053574157525,0.0562858958709136,11.8391261521806,1.01351104658064e-05
"Q5SCORE",-0.093673153398296,-0.00106813897191376,0.00223265786257976,0.264627013965882,0.00346266731290637,0.689727759379121,0.502312808027366
"Q6SCORE",0.144641729838254,-0.00103329601742938,-0.00112471248121869,0.23088346111455,0.00127666216871596,0.25374138251381,0.776018171237035
"Q7SCORE",0.258144676990791,-0.00879568416969901,-0.00020542939751625,0.321325205773496,0.005031725649478,1.00384863233289,0.367394586755033
"Q8SCORE",5.09518527818306,0.0350141011767633,-0.0367179848634965,2.37505876294582,0.0125233973313984,2.51742103414359,0.0819544655962338
"Q9SCORE",-0.0416456617575793,-0.00567976573511405,0.0020867888888714,0.148140733936439,0.0185937719699229,3.7607910268087,0.0240984286467633
"Q10SCORE",-0.202981831481414,0.00142552490306996,0.00268284629127424,0.148333095919142,0.0160433887977391,3.23653770917809,0.0403390528491717
"Q11SCORE",-0.266187757228477,0.000460954615547695,0.00434073517683229,0.256908936502174,0.0134460068935517,2.70540932074666,0.0680754403910028
"Q12SCORE",-0.138038313852783,0.000838127495246406,0.00203257747400238,0.171448231006864,0.00684128694408534,1.3673498913607,0.255978461659258
"Q13SCORE",-0.404621590241561,-0.00100945047045841,0.0150750017274925,0.818577045193476,0.0158812236679372,3.20329514475378,0.0416804414723435
"MMORITIME",-0.0242541549012541,0.00143423252413622,0.00136966894055656,0.300957982626073,0.00115122776046818,0.228782090746899,0.7956066687206
"MMORISPACE",0.432217828005557,-0.00913578786975773,-0.00205782994908677,0.35107880976202,0.0062395760849915,1.24633243895084,0.288680126237544
"MMREGI",-0.0203390741616677,-0.000856171986707259,0.000606482925286715,0.0997633807604054,0.00221346972827888,0.440348439002985,0.644126122244803
"MMRECALL",-0.55630088146802,-0.0159475127810203,0.01492380889303,0.620650230966225,0.0305732896876305,6.26019268753093,0.00210486300071521
"MMSPELLBKW",0.529233863541495,-0.0321106320949143,0.00159694634535278,0.491564964779397,0.028167992142314,5.75340840293472,0.00344233349891552
"MMNAM",-0.0500773649517877,0.000514766815410101,0.000600340983151261,0.0499345326289784,0.00761639408202612,1.52345747780032,0.219228422848454
"MMCOMMAND",0.102862434337452,-0.00667176489915383,0.000886453550037559,0.243534402734104,0.00556751725995349,1.1113395783851,0.330139456018075
"MMREPEAT",0.252052384061984,-0.00538565549383366,-0.00119800902241213,0.263878919832012,0.00382207280401284,0.761592312863289,0.467603284882809
"MMREAD",0.0284350402191144,-0.000191167161718482,-0.000310284326069549,0.0500772156011385,0.00193701616233001,0.385243931945124,0.680538706544579
"MMWRITE",-0.0201112321925505,0.000535217418582021,0.000187405802904663,0.0500892672112423,0.00145656958955874,0.289550814438353,0.748757706945241
"MMDRAW",0.1828346059093,-0.0104561520353907,0.000718299050275991,0.241419933804607,0.0127537910624596,2.56433248664761,0.0782450241413319
"TRAILS",-0.0784374702841239,-0.00755137706248437,0.00386182748148703,0.270339063690577,0.0144689499059852,2.91425273314735,0.0554060093391904
"CUBE",0.451377606184361,-0.0296041979752353,0.00444310731357924,0.446834077969119,0.0326127204991405,6.69186493998512,0.00138571501458109
"MOCACLOCK",-0.0577267656650934,-0.00316529557713727,0.00477068750742408,0.482717033178325,0.00487041258786379,0.971508546143316,0.37940961764277
"MOCANAM",-0.102492953929604,-0.000183213424085605,0.00256206049467348,0.275596445813989,0.00409544462768556,0.816288824275603,0.442809774159054
"MOCADIG",-0.000704515315349852,-0.00834425168267402,0.00281110233128062,0.260056922116166,0.0120889600591752,2.42902293296572,0.0894315967509175
"MOCALET",-0.113137862692596,-0.00243490125944241,0.00253358648743317,0.177031542767227,0.0107695207780448,2.16102305715779,0.116560542145577
"MOCASERIAL",0.153393459758313,-0.0157405658515872,0.00316280746693722,0.38522561043568,0.0139864090140555,2.81568349023861,0.0610598717635086
"MOCAREP",0.139941965718847,-0.0175062071152862,0.00507282517350038,0.454250977986242,0.0153724745625935,3.09907667807606,0.0461834655357057
"MOCAFLUEN",0.198281537532497,-0.0163757730990057,0.00347790698451111,0.384687505904894,0.0155445947277769,3.13432384741743,0.0446082823908746
"MOCAABS",0.457374201457708,-0.0289901825538519,0.00228120059830478,0.392855098495451,0.0364672750384262,7.51272261709252,0.000627327286218136
"MOCADLREC",-2.02881613163378,-0.0487785421769266,0.0735281329730837,1.69084988336176,0.0865532358665973,18.8087779103572,1.56900189553972e-08
"MOCAORI",0.270732540766904,-0.00541792773527734,-0.00168372780040489,0.253655174185528,0.00522418014748453,1.04244568331931,0.353554381857715
"CLOCKSCOR",0.0917613883575913,-0.0115798645939731,0.00521044405163855,0.536391832192179,0.00742255902269772,1.48439598280089,0.227894313841262
"COPYSCOR",0.167334814987735,0.00300487095491409,-0.00115230202779822,0.419695459682117,0.000689097002891287,0.136880078725926,0.872115939243546
"TRAASCOR",2.77202736255653,-0.098684474263888,0.420417446750819,9.60087072064752,0.0839776241569397,18.197763324079,2.7438309701832e-08
"TRABSCOR",9.70482124081447,-1.96795788344438,1.38622165987321,39.8672217560392,0.0678156652583812,14.4407163391347,8.83298263211561e-07
"LIMMTOTAL",15.0839156233011,-0.242073165466684,-0.0118221205005904,3.08605132726581,0.0404648358464552,8.37100110094145,0.000274844882072989
"LDELTOTAL",15.2378176907723,-0.233746979952113,-0.00213665229195129,3.27005320284284,0.0331860938761211,6.81355490719016,0.00123186567595696
"CATANIMSC",36.0533255979587,-0.620242703968006,0.174063166143242,5.34972260732271,0.121301642408157,27.4023227766217,7.11546369658965e-12
"RAVLT.IMMED",2.84803305360062,-0.473095038248294,0.45571586499758,9.80953058846297,0.104613061209128,23.1918646010784,2.9794414556568e-10
"AVTOT6",-0.857547464614572,-0.150429986317121,0.123175899931705,3.24837191702631,0.0754914623856399,16.208671606449,1.71127117322332e-07
"AVTOTB",4.3284783585814,-0.0722022962617823,0.0885219315701232,1.9879828143583,0.092679997534741,20.2761753963983,4.12530753493234e-09
"AVDEL30MIN",-1.10714710757571,-0.0753108851491027,0.128542951450585,3.90009707524941,0.0510367651838478,10.6756484522359,3.04791843983856e-05
"AVDELTOT",-1.47772893959112,-0.0421128942362305,0.0576004651861944,2.26745794724501,0.0316786654084255,6.49393425398889,0.00167830490619721
"BMNOCUE",2.03476930674094,-0.134340713572618,0.0259170507933612,1.9948710088134,0.0364908553821139,7.5177644486418,0.000624287176834203
"BMCUED",29.7613357760825,0.0322074919269489,-0.00746238011498509,0.591627768024333,0.0262856623909328,5.35855721033348,0.00505435370567217
